seed,seed_type,epoch,train_loss,train_recon_loss,train_cls_loss,val_loss,val_recon_loss,val_cls_loss,val_acc,learning_rate
42,fixed
42,,1,8.62173939704895,8.62173939704895,0.0,0.0,0.0,0.0,0.0,5e-05
42,,2,8.598960285186768,8.598960285186768,0.0,0.0,0.0,0.0,0.0,4.9453690018345144e-05
42,,3,9.27247257232666,8.601950302124024,9.27247257232666,0.08374706531564395,0.0,0.08374706531564395,0.9681978798586572,4.783863644106502e-05
42,,4,9.04359483718872,8.614950218200683,9.04359483718872,0.05538824159238073,0.0,0.05538824159238073,0.9787985865724381,4.522542485937369e-05
42,,5,8.906372337341308,8.595251655578613,8.906372337341308,0.05063631106168032,0.0,0.05063631106168032,0.9787985865724381,4.172826515897146e-05
42,,6,8.889669761657714,8.619114904403686,8.889669761657714,0.030308525388439495,0.0,0.030308525388439495,0.9893992932862191,3.7500000000000003e-05
42,,7,8.867942371368407,8.633577442169189,8.867942371368407,0.02981096702731318,0.0,0.02981096702731318,0.9893992932862191,3.272542485937369e-05
42,,8,8.840793380737304,8.614882774353028,8.840793380737304,0.03396647796034813,0.0,0.03396647796034813,0.9893992932862191,2.7613211581691344e-05
42,,9,8.802827930450439,8.61458948135376,8.802827930450439,0.02651731302547786,0.0,0.02651731302547786,0.9893992932862191,2.2386788418308672e-05
42,,10,8.821721305847168,8.611684951782227,8.821721305847168,0.02263218185140027,0.0,0.02263218185140027,0.9893992932862191,1.727457514062632e-05
42,,11,8.812584915161132,8.619982299804688,8.812584915161132,0.021899960417714383,0.0,0.021899960417714383,0.9893992932862191,1.2500000000000009e-05
42,,12,8.802827434539795,8.590867977142334,8.802827434539795,0.02114199712458584,0.0,0.02114199712458584,0.9858657243816255,8.271734841028555e-06
42,,13,8.855859336853028,8.637984485626221,8.855859336853028,0.022083695512264967,0.0,0.022083695512264967,0.9893992932862191,4.774575140626317e-06
42,,14,8.851084728240966,8.65104274749756,8.851084728240966,0.022542447317391634,0.0,0.022542447317391634,0.9893992932862191,2.161363558934976e-06
42,,15,8.810788593292237,8.637025318145753,8.810788593292237,0.022762732321603432,0.0,0.022762732321603432,0.9893992932862191,5.46309981654858e-07
