seed,seed_type,epoch,train_loss,val_loss,val_acc,learning_rate
42,fixed
42,,1,112896.68535539215,0.6735871235529581,0.6701754385964912,5e-05
42,,2,112896.6737132353,0.657114134894477,0.6701754385964912,4.9453690018345144e-05
42,,3,112896.6659007353,0.6475870874192979,0.6701754385964912,4.783863644106502e-05
42,,4,112896.66130514706,0.6415243612395393,0.6701754385964912,4.522542485937369e-05
42,,5,112896.65885416667,0.6366813249058194,0.6701754385964912,4.172826515897146e-05
42,,6,112896.65487132352,0.63332685497072,0.6701754385964912,3.7500000000000003e-05
42,,7,112896.65287990196,0.6300139162275527,0.6701754385964912,3.272542485937369e-05
42,,8,112896.65410539215,0.6283014284239875,0.6701754385964912,2.7613211581691344e-05
42,,9,112896.65042892157,0.6264708307054307,0.6701754385964912,2.2386788418308672e-05
42,,10,112896.64889705883,0.6253083282046847,0.6701754385964912,1.727457514062632e-05
42,,11,112896.64736519608,0.6239063938458761,0.6701754385964912,1.2500000000000009e-05
